subject_id,session_id,epoch_idx,label_name,label_idx,n_channels,n_samples,fs,path_h5
11,S001,0,cibo,84,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,1,aprire,20,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,2,mettere,13,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,3,nuovo,72,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,4,bello,67,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,5,buono,66,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,6,bagno,107,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,7,arrivare,0,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,8,io,57,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,9,paura,99,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,10,mangiare,22,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,11,amore,105,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,12,voi,61,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,13,indietro,42,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,14,come,50,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,15,dare,8,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,16,oggi,43,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,17,oppure,56,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,18,molto,32,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,19,brutto,69,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,20,serenità,104,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,21,capire,4,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,22,no,29,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,23,gruppo,88,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,24,male,36,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,25,lui,58,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,26,avanti,41,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,27,conoscere,7,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,28,dove,54,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,29,perchè,48,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,30,se,55,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,31,idea,90,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,32,telefono,94,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,33,anche,49,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,34,ieri,45,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,35,vecchio,73,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,36,ansia,100,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,37,grande,70,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,38,destra,39,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,39,aiuto,79,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,40,adesso,34,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,41,aspettare,2,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,42,volere,26,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,43,loro,62,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,44,uno,97,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,45,casa,77,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,46,essere,11,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,47,chiedere,6,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,48,anno,76,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,49,andare,1,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,50,cattivo,68,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
11,S001,51,parte,75,61,384,256,/Users/dani/Documents/Thesis_ImaSpe/Daniele_IS_Thesis/data/processed/11_S001.h5
